,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount
1673,51674,0,6.0,Pad,3,16.0,Single,4,Male,2.0,1.0,14.0,1.0,Laptop & Accessory,4,1,0,1.0,147
1675,51676,0,16.0,Pad,1,16.0,Married,4,Female,2.0,1.0,11.0,0.0,Laptop & Accessory,2,3,0,1.0,153
1676,51677,0,3.0,Pad,3,6.0,Married,3,Male,3.0,1.0,13.0,4.0,Laptop & Accessory,1,4,1,0.0,163
1677,51678,0,27.0,Pad,1,26.0,Single,3,Female,2.0,1.0,12.0,3.0,Laptop & Accessory,4,3,0,0.0,149
1678,51679,0,16.0,Mobile Phone,1,13.0,Married,3,Female,2.0,1.0,16.0,0.0,Fashion,9,5,0,1.0,200
1679,51680,0,18.0,PC,1,14.0,Married,3,Male,3.0,9.0,14.0,8.0,Laptop & Accessory,10,1,0,8.0,137
1680,51681,0,13.0,Mobile Phone,3,6.0,Married,5,Male,2.0,1.0,22.0,2.0,Laptop & Accessory,3,1,1,1.0,175
1682,51683,0,2.0,PC,1,15.0,Single,4,Male,1.0,2.0,17.0,2.0,Mobile Phone,1,1,0,1.0,140
1683,51684,0,3.0,Mobile Phone,3,11.0,Married,4,Female,1.0,1.0,13.0,2.0,Laptop & Accessory,2,3,0,1.0,161
1684,51685,0,3.0,Mobile Phone,3,14.0,Married,3,Female,2.0,1.0,18.0,7.0,Laptop & Accessory,2,4,0,0.0,162
1685,51686,0,13.0,Mobile Phone,1,11.0,Married,3,Male,3.0,1.0,16.0,4.0,Laptop & Accessory,8,1,0,1.0,163
1687,51688,0,4.0,Mobile Phone,1,13.0,Single,3,Female,2.0,4.0,14.0,10.0,Fashion,2,1,1,4.0,171
1688,51689,0,2.0,Mobile Phone,3,16.0,Married,4,Female,2.0,1.0,14.0,7.0,Laptop & Accessory,2,4,1,1.0,183
1689,51690,0,8.0,Mobile Phone,1,11.0,Single,3,Male,3.0,1.0,13.0,13.0,Fashion,1,4,0,1.0,181
1691,51692,0,14.0,Mobile Phone,1,12.0,Single,4,Male,3.0,1.0,15.0,2.0,Laptop & Accessory,7,4,1,1.0,160
1694,51695,0,2.0,Pad,3,8.0,Married,3,Male,3.0,1.0,14.0,2.0,Laptop & Accessory,2,3,0,1.0,146
1698,51699,0,13.0,Mobile Phone,1,12.0,Married,1,Male,2.0,6.0,13.0,7.0,Laptop & Accessory,5,5,1,6.0,160
1699,51700,0,3.0,Pad,3,31.0,Married,3,Female,2.0,2.0,12.0,2.0,Laptop & Accessory,8,3,1,2.0,147
1700,51701,0,3.0,Mobile Phone,3,6.0,Married,3,Male,2.0,7.0,17.0,7.0,Laptop & Accessory,2,3,0,0.0,153
1701,51702,0,15.0,Mobile Phone,1,8.0,Single,4,Male,3.0,1.0,23.0,0.0,Laptop & Accessory,4,1,0,1.0,168
1703,51704,0,9.0,Pad,3,6.0,Single,3,Female,2.0,1.0,15.0,0.0,Laptop & Accessory,5,1,0,1.0,167
1704,51705,0,9.0,Pad,3,9.0,Married,4,Male,2.0,1.0,11.0,12.0,Fashion,5,1,0,0.0,197
1705,51706,0,33.0,Mobile Phone,1,6.0,Married,3,Male,2.0,1.0,11.0,2.0,Laptop & Accessory,3,3,0,0.0,168
1709,51710,0,13.0,PC,1,16.0,Married,3,Female,3.0,1.0,20.0,3.0,Household,7,5,0,1.0,135
1710,51711,0,19.0,Pad,1,13.0,Married,3,Female,1.0,1.0,14.0,0.0,Laptop & Accessory,3,3,0,1.0,153
1711,51712,1,4.0,Pad,3,10.0,Single,3,Male,2.0,7.0,18.0,7.0,Laptop & Accessory,2,4,0,4.0,194
1712,51713,0,23.0,Mobile Phone,1,16.0,Single,4,Male,3.0,1.0,15.0,3.0,Fashion,7,1,0,1.0,205
1713,51714,1,3.0,Mobile Phone,3,28.0,Married,4,Male,3.0,1.0,12.0,0.0,Laptop & Accessory,3,3,1,1.0,164
1717,51718,0,8.0,Mobile Phone,1,15.0,Single,4,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,10,4,0,0.0,165
1718,51719,0,3.0,PC,1,6.0,Married,3,Male,2.0,1.0,11.0,4.0,Mobile Phone,2,4,0,0.0,138
1719,51720,0,1.0,Mobile Phone,3,15.0,Single,3,Male,3.0,1.0,16.0,7.0,Laptop & Accessory,2,1,0,1.0,153
1721,51722,0,24.0,PC,3,20.0,Married,3,Female,2.0,1.0,11.0,7.0,Laptop & Accessory,5,1,0,1.0,149
1723,51724,1,3.0,Pad,3,25.0,Single,1,Male,3.0,1.0,13.0,4.0,Laptop & Accessory,9,1,1,0.0,153
1725,51726,0,3.0,PC,3,16.0,Married,3,Female,3.0,1.0,12.0,3.0,Laptop & Accessory,2,3,1,0.0,143
1729,51730,0,9.0,Mobile Phone,3,8.0,Married,4,Male,3.0,9.0,13.0,0.0,Fashion,2,3,0,8.0,176
1732,51733,0,13.0,Mobile Phone,3,8.0,Married,3,Female,2.0,1.0,12.0,3.0,Laptop & Accessory,8,4,0,0.0,157
1734,51735,0,13.0,PC,1,16.0,Single,3,Male,2.0,1.0,12.0,1.0,Laptop & Accessory,3,4,1,0.0,142
1736,51737,0,13.0,PC,1,8.0,Married,4,Female,3.0,1.0,22.0,0.0,Laptop & Accessory,7,3,0,1.0,134
1738,51739,0,7.0,Pad,3,10.0,Married,3,Female,3.0,1.0,15.0,2.0,Laptop & Accessory,10,3,0,0.0,165
1739,51740,0,4.0,PC,1,13.0,Married,3,Female,2.0,3.0,12.0,12.0,Laptop & Accessory,2,5,0,3.0,143
1741,51742,0,16.0,PC,1,14.0,Married,3,Female,3.0,1.0,14.0,2.0,Laptop & Accessory,5,3,1,1.0,145
1742,51743,0,3.0,PC,3,10.0,Single,4,Female,3.0,1.0,11.0,3.0,Laptop & Accessory,2,1,1,0.0,145
1743,51744,0,13.0,Pad,1,31.0,Married,3,Female,3.0,10.0,15.0,7.0,Laptop & Accessory,4,3,1,4.0,144
1745,51746,0,12.0,Pad,1,6.0,Married,3,Male,2.0,1.0,14.0,6.0,Others,2,3,1,0.0,292
1747,51748,0,3.0,Mobile Phone,3,18.0,Single,3,Female,2.0,4.0,11.0,4.0,Laptop & Accessory,1,3,0,3.0,166
1748,51749,0,14.0,Mobile Phone,3,6.0,Married,1,Male,2.0,1.0,16.0,7.0,Fashion,2,5,0,1.0,184
1749,51750,0,1.0,PC,1,23.0,Married,3,Male,3.0,1.0,12.0,8.0,Laptop & Accessory,2,5,0,0.0,146
1750,51751,1,3.0,PC,1,9.0,Married,3,Male,3.0,1.0,13.0,2.0,Mobile Phone,6,5,0,1.0,140
1751,51752,0,25.0,Mobile Phone,1,9.0,Married,4,Male,2.0,1.0,14.0,4.0,Fashion,3,3,1,1.0,180
1754,51755,0,15.0,Pad,1,35.0,Married,3,Female,3.0,1.0,11.0,2.0,Laptop & Accessory,3,3,0,1.0,146
1755,51756,0,3.0,Mobile Phone,1,8.0,Single,5,Female,2.0,1.0,20.0,2.0,Laptop & Accessory,3,1,0,1.0,161
1757,51758,0,19.0,PC,1,24.0,Married,3,Female,2.0,1.0,14.0,8.0,Laptop & Accessory,3,3,0,1.0,148
1758,51759,0,15.0,Pad,1,34.0,Married,4,Female,2.0,1.0,11.0,4.0,Laptop & Accessory,1,1,0,0.0,145
1759,51760,1,3.0,PC,3,6.0,Single,3,Female,3.0,1.0,16.0,4.0,Household,2,4,1,0.0,132
1768,51769,0,3.0,Pad,3,28.0,Married,3,Female,3.0,7.0,11.0,8.0,Fashion,1,5,0,3.0,184
1772,51773,0,33.0,Pad,3,34.0,Married,4,Female,3.0,13.0,19.0,11.0,Fashion,5,5,0,3.0,203
1773,51774,0,23.0,Mobile Phone,1,8.0,Married,3,Female,3.0,1.0,13.0,4.0,Laptop & Accessory,6,1,0,0.0,151
1775,51776,0,8.0,PC,1,28.0,Single,5,Male,2.0,4.0,15.0,3.0,Mobile Phone,1,3,0,1.0,142
1776,51777,0,27.0,PC,1,5.0,Single,3,Female,2.0,1.0,11.0,0.0,Laptop & Accessory,8,3,0,0.0,138
1778,51779,0,5.0,Mobile Phone,3,16.0,Married,4,Female,3.0,1.0,19.0,2.0,Fashion,3,1,1,0.0,191
1779,51780,0,4.0,Mobile Phone,1,15.0,Married,3,Male,2.0,1.0,25.0,8.0,Fashion,2,4,0,0.0,206
1781,51782,1,3.0,PC,1,16.0,Married,5,Male,2.0,1.0,13.0,3.0,Household,8,1,0,0.0,134
1783,51784,0,8.0,Mobile Phone,1,22.0,Married,3,Male,3.0,1.0,12.0,0.0,Fashion,5,3,1,0.0,176
1784,51785,1,3.0,Pad,1,26.0,Married,3,Male,3.0,1.0,12.0,0.0,Fashion,4,3,0,1.0,198
1785,51786,1,3.0,Pad,2,29.0,Married,3,Female,2.0,1.0,15.0,2.0,Fashion,10,5,1,1.0,200
1787,51788,0,9.0,Pad,3,16.0,Single,3,Male,2.0,9.0,14.0,7.0,Fashion,2,1,0,8.0,200
1788,51789,1,3.0,Pad,1,10.0,Single,4,Male,3.0,1.0,16.0,2.0,Mobile Phone,6,3,0,0.0,139
1789,51790,0,21.0,PC,3,8.0,Married,3,Female,2.0,6.0,14.0,7.0,Laptop & Accessory,3,1,0,6.0,141
1791,51792,0,14.0,Pad,3,16.0,Single,3,Male,2.0,1.0,14.0,10.0,Laptop & Accessory,8,1,0,0.0,162
1792,51793,0,8.0,PC,3,6.0,Married,3,Male,2.0,6.0,11.0,9.0,Laptop & Accessory,10,3,0,0.0,147
1794,51795,0,12.0,Pad,1,14.0,Married,3,Female,2.0,1.0,11.0,7.0,Mobile Phone,2,3,0,1.0,138
1795,51796,0,4.0,Mobile Phone,3,8.0,Single,3,Male,3.0,1.0,13.0,5.0,Laptop & Accessory,5,1,1,1.0,166
1796,51797,0,15.0,Mobile Phone,1,30.0,Married,3,Male,2.0,5.0,21.0,8.0,Fashion,2,5,1,5.0,174
1797,51798,0,18.0,PC,3,8.0,Married,3,Male,3.0,3.0,19.0,7.0,Laptop & Accessory,1,4,0,3.0,148
1799,51800,0,2.0,PC,1,25.0,Married,3,Male,2.0,1.0,12.0,2.0,Laptop & Accessory,5,1,0,1.0,143
1804,51805,0,14.0,Pad,1,8.0,Single,4,Female,3.0,1.0,17.0,7.0,Laptop & Accessory,3,3,1,0.0,168
1805,51806,0,3.0,PC,3,35.0,Married,3,Male,2.0,1.0,12.0,0.0,Laptop & Accessory,6,3,0,0.0,143
1806,51807,0,8.0,PC,3,6.0,Single,3,Female,3.0,1.0,16.0,3.0,Laptop & Accessory,2,3,0,1.0,149
1807,51808,0,7.0,Mobile Phone,3,27.0,Single,1,Male,3.0,5.0,12.0,7.0,Laptop & Accessory,2,1,0,0.0,153
1809,51810,0,13.0,Mobile Phone,1,6.0,Single,3,Female,2.0,1.0,17.0,2.0,Fashion,5,1,0,1.0,175
1810,51811,0,19.0,Pad,1,24.0,Married,3,Female,2.0,1.0,11.0,2.0,Fashion,6,3,0,0.0,205
1812,51813,0,13.0,Pad,3,15.0,Married,3,Male,3.0,7.0,13.0,7.0,Fashion,2,4,0,1.0,188
1813,51814,0,25.0,Mobile Phone,1,12.0,Married,3,Male,3.0,6.0,12.0,9.0,Laptop & Accessory,4,5,1,2.0,156
1814,51815,1,3.0,Pad,3,17.0,Married,1,Male,2.0,1.0,12.0,2.0,Laptop & Accessory,9,3,0,1.0,147
1816,51817,0,11.0,Mobile Phone,1,16.0,Married,3,Female,3.0,1.0,19.0,0.0,Laptop & Accessory,4,3,0,0.0,198
1817,51818,0,13.0,Mobile Phone,1,6.0,Married,3,Female,3.0,4.0,12.0,3.0,Laptop & Accessory,7,4,0,4.0,164
1820,51821,0,3.0,Mobile Phone,3,34.0,Married,3,Male,3.0,1.0,20.0,4.0,Laptop & Accessory,2,4,0,0.0,163
1826,51827,0,7.0,PC,1,6.0,Married,4,Male,2.0,1.0,13.0,3.0,Mobile Phone,2,1,1,1.0,136
1827,51828,1,3.0,PC,3,19.0,Married,3,Male,2.0,1.0,17.0,2.0,Laptop & Accessory,3,5,0,0.0,142
1828,51829,0,8.0,PC,1,31.0,Single,4,Male,2.0,1.0,14.0,2.0,Laptop & Accessory,5,1,0,1.0,137
1829,51830,0,4.0,Mobile Phone,3,12.0,Married,1,Male,3.0,5.0,22.0,7.0,Laptop & Accessory,5,1,0,5.0,155
1831,51832,0,13.0,Mobile Phone,3,8.0,Married,3,Male,3.0,1.0,11.0,0.0,Laptop & Accessory,5,3,1,0.0,196
1833,51834,0,15.0,PC,1,8.0,Married,3,Female,2.0,2.0,13.0,2.0,Laptop & Accessory,2,1,0,0.0,141
1836,51837,0,16.0,Pad,1,15.0,Married,3,Male,3.0,4.0,13.0,7.0,Laptop & Accessory,4,3,1,1.0,157
1838,51839,0,17.0,Mobile Phone,2,6.0,Single,4,Female,2.0,1.0,11.0,2.0,Laptop & Accessory,5,3,0,1.0,160
1841,51842,0,3.0,PC,3,28.0,Single,3,Male,2.0,1.0,11.0,2.0,Household,2,3,0,0.0,134
1844,51845,0,6.0,Mobile Phone,3,14.0,Married,3,Male,2.0,1.0,12.0,2.0,Laptop & Accessory,1,3,0,0.0,171
1845,51846,0,5.0,Mobile Phone,1,15.0,Married,3,Female,3.0,1.0,12.0,5.0,Laptop & Accessory,2,1,1,1.0,163
1847,51848,0,26.0,Mobile Phone,3,6.0,Single,3,Female,2.0,8.0,20.0,10.0,Laptop & Accessory,8,5,0,4.0,184
1849,51850,1,8.0,Pad,3,32.0,Married,3,Female,3.0,1.0,14.0,0.0,Laptop & Accessory,3,5,0,0.0,143
1850,51851,0,3.0,Mobile Phone,1,12.0,Married,3,Female,3.0,1.0,13.0,2.0,Mobile Phone,2,1,1,0.0,56
1851,51852,0,13.0,Mobile Phone,1,9.0,Married,3,Male,2.0,7.0,15.0,8.0,Fashion,2,3,0,7.0,194
1852,51853,0,2.0,Mobile Phone,3,9.0,Married,3,Female,3.0,1.0,14.0,2.0,Laptop & Accessory,2,3,0,0.0,156
1853,51854,0,8.0,Mobile Phone,1,12.0,Single,5,Male,2.0,11.0,13.0,8.0,Laptop & Accessory,2,1,0,0.0,166
1854,51855,0,6.0,Pad,1,12.0,Married,3,Male,1.0,4.0,23.0,7.0,Laptop & Accessory,4,1,0,3.0,177
1855,51856,0,27.0,Mobile Phone,2,25.0,Married,3,Male,2.0,7.0,15.0,1.0,Fashion,3,4,0,2.0,207
1856,51857,0,9.0,Mobile Phone,1,15.0,Married,4,Male,2.0,1.0,11.0,2.0,Laptop & Accessory,3,4,1,0.0,188
1858,51859,1,3.0,Mobile Phone,1,16.0,Single,3,Male,2.0,1.0,11.0,1.0,Mobile Phone,2,3,1,1.0,110
1859,51860,1,3.0,Pad,1,9.0,Single,3,Male,3.0,9.0,11.0,7.0,Household,2,5,1,5.0,133
1862,51863,0,3.0,PC,3,14.0,Married,1,Male,2.0,1.0,22.0,2.0,Laptop & Accessory,1,4,0,1.0,149
1863,51864,0,11.0,PC,3,13.0,Single,4,Female,2.0,1.0,20.0,5.0,Laptop & Accessory,1,1,0,1.0,140
1865,51866,0,21.0,Mobile Phone,3,8.0,Married,1,Male,2.0,2.0,12.0,2.0,Laptop & Accessory,4,4,0,0.0,181
1866,51867,0,3.0,Pad,3,9.0,Married,1,Female,3.0,1.0,20.0,4.0,Laptop & Accessory,2,1,1,1.0,146
1867,51868,0,13.0,PC,1,16.0,Single,1,Male,3.0,1.0,17.0,0.0,Mobile Phone,4,1,0,1.0,147
1868,51869,0,23.0,PC,1,34.0,Married,1,Male,3.0,3.0,11.0,8.0,Household,2,3,1,0.0,132
1869,51870,0,7.0,Mobile Phone,1,15.0,Single,4,Female,2.0,7.0,14.0,7.0,Fashion,2,4,0,4.0,186
1870,51871,1,3.0,PC,3,9.0,Single,3,Female,3.0,2.0,14.0,0.0,Laptop & Accessory,10,3,0,1.0,146
1871,51872,0,12.0,PC,1,8.0,Single,4,Female,3.0,11.0,11.0,10.0,Laptop & Accessory,2,3,0,1.0,146
1872,51873,0,5.0,Mobile Phone,3,16.0,Single,3,Male,2.0,1.0,12.0,8.0,Laptop & Accessory,2,1,0,1.0,154
1873,51874,1,13.0,Pad,3,14.0,Married,3,Male,2.0,1.0,14.0,3.0,Laptop & Accessory,4,3,1,0.0,168
1874,51875,0,11.0,Mobile Phone,1,6.0,Single,1,Female,2.0,1.0,13.0,8.0,Laptop & Accessory,1,1,0,0.0,176
1875,51876,0,3.0,Mobile Phone,1,6.0,Married,3,Female,3.0,1.0,11.0,7.0,Fashion,2,5,0,0.0,174
1877,51878,0,23.0,Mobile Phone,3,20.0,Single,3,Male,2.0,1.0,12.0,7.0,Laptop & Accessory,3,5,0,1.0,150
1878,51879,0,13.0,Pad,3,11.0,Married,4,Male,2.0,1.0,21.0,12.0,Fashion,6,5,1,0.0,205
1881,51882,0,33.0,Mobile Phone,3,22.0,Single,3,Male,2.0,2.0,14.0,2.0,Laptop & Accessory,9,5,0,2.0,154
1882,51883,0,3.0,Pad,1,16.0,Married,3,Male,2.0,1.0,21.0,7.0,Fashion,2,5,0,0.0,188
1884,51885,0,23.0,PC,3,14.0,Married,3,Male,2.0,2.0,15.0,2.0,Mobile Phone,8,4,0,0.0,139
1887,51888,0,11.0,Mobile Phone,1,6.0,Single,3,Female,2.0,1.0,14.0,0.0,Fashion,5,3,1,0.0,179
1888,51889,0,17.0,Pad,1,30.0,Single,5,Male,2.0,1.0,14.0,4.0,Mobile Phone,3,3,0,0.0,137
1890,51891,0,3.0,Mobile Phone,3,33.0,Married,3,Male,3.0,7.0,23.0,7.0,Laptop & Accessory,8,1,0,2.0,153
1893,51894,0,16.0,Pad,3,21.0,Married,4,Male,2.0,2.0,18.0,2.0,Laptop & Accessory,4,1,0,1.0,168
1894,51895,0,7.0,Mobile Phone,1,14.0,Single,3,Female,3.0,4.0,11.0,3.0,Laptop & Accessory,4,3,0,0.0,161
1896,51897,0,12.0,Mobile Phone,2,9.0,Married,1,Female,2.0,3.0,15.0,6.0,Laptop & Accessory,10,4,0,0.0,164
1899,51900,0,3.0,Mobile Phone,1,13.0,Single,4,Female,2.0,1.0,19.0,7.0,Laptop & Accessory,9,5,0,1.0,168
1902,51903,0,8.0,Pad,1,8.0,Married,3,Female,3.0,1.0,11.0,0.0,Laptop & Accessory,3,5,0,1.0,151
1903,51904,0,5.0,Pad,1,30.0,Married,3,Male,3.0,4.0,15.0,7.0,Laptop & Accessory,2,1,0,1.0,153
1905,51906,0,7.0,Mobile Phone,1,14.0,Married,3,Female,2.0,1.0,14.0,0.0,Laptop & Accessory,4,5,0,1.0,151
1908,51909,0,3.0,Mobile Phone,3,32.0,Single,3,Female,2.0,1.0,23.0,4.0,Laptop & Accessory,2,1,0,0.0,162
1909,51910,0,18.0,Mobile Phone,3,8.0,Single,5,Male,2.0,3.0,13.0,1.0,Laptop & Accessory,1,3,0,1.0,166
1910,51911,0,3.0,PC,1,16.0,Single,1,Male,3.0,1.0,18.0,2.0,Household,2,3,0,0.0,135
1911,51912,1,13.0,Pad,3,33.0,Single,1,Female,3.0,1.0,12.0,3.0,Laptop & Accessory,5,3,1,0.0,164
1912,51913,0,7.0,Mobile Phone,3,8.0,Single,3,Male,2.0,1.0,22.0,4.0,Laptop & Accessory,2,1,0,0.0,163
1914,51915,0,9.0,Pad,3,14.0,Single,4,Male,3.0,1.0,15.0,9.0,Fashion,2,5,0,0.0,176
1915,51916,0,25.0,Pad,1,25.0,Married,3,Male,2.0,1.0,18.0,2.0,Mobile Phone,1,1,0,1.0,143
1916,51917,0,3.0,Pad,1,6.0,Married,5,Female,3.0,2.0,14.0,0.0,Mobile Phone,4,1,0,2.0,144
1917,51918,0,2.0,PC,1,33.0,Married,3,Female,3.0,1.0,12.0,1.0,Laptop & Accessory,5,3,0,0.0,143
1918,51919,1,3.0,Mobile Phone,3,14.0,Single,4,Male,2.0,1.0,17.0,2.0,Laptop & Accessory,7,5,0,0.0,153
1919,51920,0,7.0,PC,1,6.0,Single,1,Female,3.0,1.0,16.0,3.0,Household,3,1,0,1.0,133
1920,51921,0,27.0,Mobile Phone,1,25.0,Married,3,Female,3.0,1.0,11.0,4.0,Laptop & Accessory,10,5,1,0.0,155
1921,51922,0,3.0,Pad,3,14.0,Married,3,Male,2.0,1.0,19.0,1.0,Laptop & Accessory,1,1,0,1.0,143
1923,51924,0,11.0,Pad,1,8.0,Single,1,Female,3.0,4.0,12.0,12.0,Laptop & Accessory,7,5,1,0.0,160
1924,51925,0,7.0,PC,1,8.0,Single,4,Female,2.0,1.0,11.0,3.0,Mobile Phone,2,5,0,1.0,144
1926,51927,0,3.0,PC,1,6.0,Married,5,Male,2.0,1.0,21.0,2.0,Mobile Phone,4,3,0,1.0,138
1927,51928,0,13.0,Pad,1,8.0,Married,1,Female,2.0,3.0,24.0,7.0,Laptop & Accessory,2,4,0,0.0,142
1928,51929,0,7.0,Mobile Phone,3,14.0,Married,3,Female,3.0,1.0,17.0,2.0,Laptop & Accessory,6,5,0,1.0,165
1936,51937,1,3.0,Mobile Phone,3,22.0,Single,3,Female,3.0,1.0,15.0,2.0,Laptop & Accessory,6,5,0,1.0,153
1938,51939,0,9.0,Mobile Phone,1,6.0,Married,3,Female,2.0,1.0,15.0,5.0,Laptop & Accessory,1,4,0,1.0,152
1942,51943,0,15.0,Mobile Phone,1,6.0,Married,4,Female,2.0,1.0,13.0,2.0,Laptop & Accessory,10,1,1,0.0,161
1943,51944,1,3.0,PC,1,8.0,Single,3,Male,2.0,2.0,17.0,1.0,Mobile Phone,7,3,0,2.0,144
1945,51946,0,5.0,Mobile Phone,1,10.0,Married,4,Female,3.0,6.0,12.0,8.0,Laptop & Accessory,2,3,0,5.0,162
1946,51947,0,13.0,Pad,1,22.0,Single,4,Male,2.0,1.0,14.0,0.0,Laptop & Accessory,7,3,0,0.0,151
1947,51948,0,3.0,Mobile Phone,1,8.0,Single,4,Female,2.0,1.0,24.0,0.0,Laptop & Accessory,6,1,1,1.0,169
1949,51950,0,15.0,PC,1,35.0,Married,3,Male,3.0,7.0,13.0,8.0,Laptop & Accessory,2,4,0,5.0,144
1950,51951,0,11.0,Pad,1,18.0,Married,4,Male,0.0,1.0,15.0,2.0,Laptop & Accessory,3,5,0,1.0,163
1952,51953,1,12.0,Mobile Phone,3,17.0,Married,3,Female,2.0,7.0,18.0,7.0,Fashion,2,1,0,0.0,177
1953,51954,1,18.0,Mobile Phone,3,8.0,Single,3,Male,2.0,7.0,16.0,3.0,Laptop & Accessory,5,1,0,1.0,152
1956,51957,0,8.0,Mobile Phone,1,13.0,Single,3,Male,2.0,1.0,21.0,6.0,Fashion,4,3,0,0.0,202
1957,51958,0,1.0,PC,3,8.0,Married,3,Female,2.0,7.0,20.0,5.0,Laptop & Accessory,2,4,1,6.0,148
1958,51959,0,7.0,PC,2,9.0,Married,3,Male,2.0,1.0,19.0,2.0,Mobile Phone,1,1,0,1.0,137
1962,51963,0,17.0,Mobile Phone,1,10.0,Single,3,Male,2.0,2.0,12.0,3.0,Laptop & Accessory,10,4,0,1.0,159
1963,51964,0,3.0,PC,1,8.0,Single,1,Male,3.0,1.0,13.0,1.0,Household,8,5,0,0.0,134
1964,51965,0,6.0,PC,3,6.0,Married,1,Male,2.0,1.0,22.0,8.0,Laptop & Accessory,2,5,0,0.0,140
1966,51967,0,9.0,Mobile Phone,3,6.0,Married,3,Male,2.0,4.0,14.0,11.0,Laptop & Accessory,2,1,1,3.0,162
1967,51968,0,5.0,PC,3,19.0,Married,3,Male,3.0,1.0,11.0,3.0,Laptop & Accessory,3,1,0,0.0,144
1968,51969,0,3.0,Pad,1,11.0,Married,4,Male,3.0,1.0,12.0,3.0,Mobile Phone,10,1,0,0.0,138
1970,51971,0,18.0,Mobile Phone,3,15.0,Married,3,Male,3.0,1.0,12.0,2.0,Fashion,5,5,1,0.0,208
1971,51972,0,5.0,Mobile Phone,1,14.0,Married,1,Female,3.0,1.0,12.0,3.0,Laptop & Accessory,6,3,0,1.0,152
1973,51974,0,13.0,Mobile Phone,3,22.0,Married,4,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,5,3,0,1.0,163
1974,51975,0,1.0,PC,2,14.0,Married,4,Male,3.0,1.0,13.0,4.0,Mobile Phone,2,1,0,1.0,149
1975,51976,0,3.0,PC,1,6.0,Married,4,Male,2.0,2.0,22.0,2.0,Laptop & Accessory,7,1,0,2.0,148
1979,51980,0,3.0,PC,3,9.0,Married,3,Male,3.0,1.0,18.0,3.0,Laptop & Accessory,2,5,1,0.0,142
1980,51981,0,8.0,Mobile Phone,1,15.0,Married,4,Female,3.0,5.0,20.0,15.0,Fashion,2,3,1,3.0,207
1982,51983,0,5.0,Pad,1,6.0,Married,3,Male,3.0,1.0,12.0,2.0,Household,1,1,0,1.0,123
1983,51984,0,3.0,PC,3,10.0,Married,4,Male,2.0,1.0,12.0,3.0,Laptop & Accessory,2,5,0,1.0,143
1984,51985,0,22.0,PC,1,6.0,Married,3,Female,2.0,1.0,16.0,2.0,Mobile Phone,3,5,0,0.0,136
1985,51986,0,3.0,Pad,1,10.0,Married,4,Male,2.0,3.0,17.0,4.0,Household,1,1,0,0.0,132
1986,51987,0,5.0,Pad,3,11.0,Married,3,Male,2.0,5.0,14.0,3.0,Laptop & Accessory,2,4,0,2.0,165
1988,51989,0,15.0,Mobile Phone,1,9.0,Married,1,Female,3.0,1.0,13.0,3.0,Laptop & Accessory,3,1,1,1.0,152
1992,51993,0,8.0,Mobile Phone,1,31.0,Married,4,Male,3.0,4.0,16.0,8.0,Fashion,4,4,0,2.0,209
1995,51996,0,16.0,Pad,1,6.0,Married,3,Female,2.0,2.0,13.0,2.0,Laptop & Accessory,5,1,0,1.0,156
1996,51997,0,23.0,PC,3,8.0,Married,3,Female,2.0,7.0,22.0,7.0,Laptop & Accessory,1,1,1,3.0,145
1997,51998,0,13.0,Pad,3,25.0,Single,3,Male,2.0,1.0,13.0,9.0,Fashion,2,4,1,0.0,176
1999,52000,0,12.0,Mobile Phone,2,8.0,Married,4,Female,2.0,1.0,11.0,4.0,Laptop & Accessory,9,1,0,1.0,152
2004,52005,0,1.0,PC,3,11.0,Single,3,Male,3.0,1.0,14.0,2.0,Laptop & Accessory,2,1,0,0.0,149
2006,52007,0,16.0,PC,1,14.0,Married,3,Female,2.0,1.0,21.0,0.0,Laptop & Accessory,5,4,0,1.0,148
2009,52010,0,9.0,Mobile Phone,1,20.0,Married,3,Male,3.0,4.0,17.0,11.0,Laptop & Accessory,1,1,1,2.0,166
2010,52011,0,23.0,PC,3,8.0,Single,4,Female,3.0,1.0,18.0,2.0,Household,2,1,1,0.0,133
2011,52012,1,3.0,PC,1,9.0,Married,3,Female,2.0,1.0,19.0,2.0,Laptop & Accessory,1,3,1,1.0,142
2017,52018,0,15.0,Mobile Phone,3,20.0,Single,4,Female,3.0,1.0,17.0,3.0,Laptop & Accessory,8,3,0,1.0,162
2019,52020,0,33.0,Mobile Phone,1,11.0,Married,4,Female,2.0,1.0,13.0,4.0,Fashion,3,4,1,1.0,206
2021,52022,0,8.0,PC,1,27.0,Married,3,Female,2.0,1.0,25.0,7.0,Laptop & Accessory,2,1,1,0.0,140
2022,52023,0,22.0,Mobile Phone,1,14.0,Married,3,Female,2.0,1.0,11.0,7.0,Fashion,5,4,0,0.0,174
2024,52025,0,4.0,Pad,3,26.0,Married,3,Female,2.0,1.0,13.0,0.0,Laptop & Accessory,2,3,0,1.0,169
